word1,word2,gold,similarity
telephone,communication,6.6875,-0.17533731268866498
television,film,5.75,0.48614548534342344
television,radio,4.625,0.41172161834610826
tennis,racket,5.0,0.3164003055355533
territory,kilometer,2.1875,0.3955033029450971
territory,surface,3.594,0.06362872609940157
theater,history,1.9375,0.09273745946954208
tiger,animal,6.9375,0.15168348359323186
tiger,cat,6.75,0.17597439321716465
tiger,organism,3.0625,-0.10562903743083238
tiger,tiger,10.0,1.0
tiger,zoo,4.9375,0.4889465383555042
tool,implement,5.3125,0.19380864252473592
train,car,3.5,0.7129863627082506
travel,activity,4.1875,0.17971796707045662
treatment,recovery,5.3125,0.20607063100616663
type,kind,8.4375,0.2130838018926032
victim,emergency,2.6875,0.13721452983421276
viewer,serial,2.5625,0.4329548864811626
weapon,secret,2.5,0.3238508193720492
weather,forecast,5.4375,0.1039983075815294
wednesday,news,1.125,0.4938900707914042
wood,forest,7.9375,0.4153484124454239
word,similarity,0.8125,0.2910043854112576

# SpearmanCorrelation,0.2921212054299663
# MeanPredSim,0.3416277333204158
# VarPredSim,0.05733278635852141
